disasterNumber,declarationDate,declarationTitle,state
3238,2005-09-10T00:00:00.000Z,HURRICANE KATRINA EVACUATION,IN
3359,2012-10-29T00:00:00.000Z,HURRICANE SANDY,VA
3121,1996-10-24T00:00:00.000Z,"SEVERE STORM,HEAVY RAINS, FLOODING, HIGH WINDS",ME
1463,2003-05-06T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",MO
4251,2016-01-21T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",AL
1976,2011-05-04T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",KY
3135,1999-01-15T00:00:00.000Z,IN-WINTER STORM 12/23/98,IN
4503,2020-03-29T00:00:00.000Z,COVID-19 PANDEMIC,AL
1977,2011-05-05T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",IA
3534,2020-08-02T00:00:00.000Z,HURRICANE ISAIAS,NC
4301,2017-02-14T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",CA
1453,2003-03-14T00:00:00.000Z,SEVERE WINTER STORM AND RECORD/NEAR RECORD SNOW,OH
545,1977-12-10T00:00:00.000Z,"SEVERE STORMS,MUDSLIDES, & FLOODING",WA
3316,2011-02-02T00:00:00.000Z,SEVERE WINTER STORM,OK
1674,2007-01-07T00:00:00.000Z,SEVERE WINTER STORMS,NE
3448,2020-03-13T00:00:00.000Z,COVID-19 ,VA
3134,1999-01-08T00:00:00.000Z,IL-WINTER STORM  1/1/99,IL
1624,2006-01-11T00:00:00.000Z,EXTREME WILDFIRE THREAT,TX
1623,2006-01-10T00:00:00.000Z,EXTREME WILDFIRE THREAT,OK
1160,1997-01-23T00:00:00.000Z,"SEVERE WINTER STORMS, LAND AND MUDSLIDES, FLOODING",OR
3462,2020-03-13T00:00:00.000Z,COVID-19 ,OK
226,1967-03-27T00:00:00.000Z,SEVERE STORMS & FLOODING,KY
1993,2011-06-10T00:00:00.000Z,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS",NY
4189,2014-08-13T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",TN
1510,2004-02-19T00:00:00.000Z,SEVERE WINTER STORMS,OR
370,1973-04-04T00:00:00.000Z,TORNADOES & FLOODING,GA
779,1986-10-14T00:00:00.000Z,SEVERE STORMS & FLOODING,MO
3271,2007-01-07T00:00:00.000Z,SNOW,CO
1450,2003-01-06T00:00:00.000Z,SEVERE ICE STORM,AR
870,1990-06-06T00:00:00.000Z,"SEVERE STORMS, TORNADOES & FLOODING",OH
1360,2001-02-23T00:00:00.000Z,SEVERE STORMS AND TORNADOES,MS
1980,2011-05-09T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",MO
3117,1996-02-23T00:00:00.000Z,EXTREME  FIRE HAZARD,TX
4222,2015-05-26T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",OK
1103,1996-02-23T00:00:00.000Z,WINTER STORM,NC
1978,2011-05-09T00:00:00.000Z,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS",TN
274,1969-08-23T00:00:00.000Z,SEVERE STORMS & FLOODING,VA
1833,2009-04-23T00:00:00.000Z,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS",GA
3240,2005-09-12T00:00:00.000Z,HURRICANE KATRINA EVACUATION,VA
3440,2020-03-13T00:00:00.000Z,COVID-19 ,RI
1239,1998-08-26T00:00:00.000Z,TROPICAL STORM CHARLEY,TX
4529,2020-04-05T00:00:00.000Z,COVID-19 PANDEMIC,NM
472,1975-06-28T00:00:00.000Z,"RAINS, SHOWMELT, STORMS & FLOODING",MT
974,1992-12-21T00:00:00.000Z,"COASTAL STORM, HIGH TIDES, HEAVY RAIN, & FLOODING",NY
1464,2003-05-08T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",TN
859,1990-02-28T00:00:00.000Z,"SEVERE STORMS, TORNADOES & FLOODING",MS
1549,2004-09-15T00:00:00.000Z,HURRICANE IVAN,AL
403,1973-09-28T00:00:00.000Z,"SEVERE STORMS, TORNADOES & FLOODING",KS
4421,2019-03-23T00:00:00.000Z,SEVERE STORMS AND FLOODING,IA
3284,2008-03-14T00:00:00.000Z,WILDFIRES,TX
4514,2020-04-02T00:00:00.000Z,COVID-19 PANDEMIC,TN
3107,1993-03-17T00:00:00.000Z,SEVERE BLIZZARD,NY
4155,2013-11-08T00:00:00.000Z,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",SD
1531,2004-07-20T00:00:00.000Z,SEVERE STORMS AND FLOODING,SD
1196,1998-01-06T00:00:00.000Z,SEVERE STORMS AND FLOODING,NY
5304,2019-11-26T00:00:00.000Z,HIGHWAY 50 FIRE  ,OK
3469,2020-03-13T00:00:00.000Z,COVID-19 ,KY
4670,2022-09-20T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",OK
4338,2017-09-15T00:00:00.000Z,HURRICANE IRMA,GA
